name,position,team,projected_points,adp,tier
Patrick Mahomes,QB,KC,385.2,12.4,1
Josh Allen,QB,BUF,378.8,10.2,1
Jalen Hurts,QB,PHI,368.5,11.8,1
Lamar Jackson,QB,BAL,362.1,14.5,1
Justin Herbert,QB,LAC,345.6,22.3,2
Joe Burrow,QB,CIN,340.2,20.1,2
CJ Stroud,QB,HOU,338.7,18.6,2
Dak Prescott,QB,DAL,332.4,28.9,2
Tua Tagovailoa,QB,MIA,325.8,32.4,3
Kyler Murray,QB,ARI,318.2,35.1,3
Trevor Lawrence,QB,JAX,315.6,36.8,3
Jordan Love,QB,GB,312.4,38.2,3
Brock Purdy,QB,SF,308.9,40.5,3
Jared Goff,QB,DET,305.2,42.1,4
Kirk Cousins,QB,ATL,298.5,48.3,4
Matthew Stafford,QB,LAR,295.1,50.2,4
Deshaun Watson,QB,CLE,290.4,52.6,4
Anthony Richardson,QB,IND,285.7,55.4,4
Will Levis,QB,TEN,275.2,62.1,5
Daniel Jones,QB,NYG,268.4,68.9,5
Bryce Young,QB,CAR,262.1,72.3,5
Justin Fields,QB,PIT,258.6,75.8,5
Derek Carr,QB,NO,255.4,78.2,5
Geno Smith,QB,SEA,252.8,80.4,5
Russell Wilson,QB,DEN,248.2,82.1,5
Christian McCaffrey,RB,SF,382.5,1.1,1
Bijan Robinson,RB,ATL,345.2,3.2,1
Breece Hall,RB,NYJ,332.8,5.4,1
Saquon Barkley,RB,PHI,325.6,6.8,1
Jonathan Taylor,RB,IND,318.4,7.2,1
Austin Ekeler,RB,WAS,310.2,9.1,2
Travis Etienne,RB,JAX,305.8,10.5,2
Derrick Henry,RB,BAL,302.4,11.2,2
Jahmyr Gibbs,RB,DET,298.6,12.8,2
Rachaad White,RB,TB,292.1,14.2,2
Isiah Pacheco,RB,KC,288.4,15.6,2
Josh Jacobs,RB,GB,285.2,16.8,2
Kyren Williams,RB,LAR,282.5,17.4,2
Joe Mixon,RB,HOU,278.9,19.2,3
Najee Harris,RB,PIT,275.2,20.5,3
James Cook,RB,BUF,272.4,22.1,3
De'Von Achane,RB,MIA,268.8,23.4,3
David Montgomery,RB,DET,265.2,25.8,3
